Id,Tipo de Servicio que se ofrece: ,Tipo de Servicio que se ofrece:  (Otro),Años de operación:,¿Cómo te promocionas actualmente?,¿Cómo te promocionas actualmente? (Otro),¿Cómo describes la función de promoción actualmente?,¿Cómo te das a conocer actualmente?,¿Cómo te das a conocer actualmente? (Otro),De esos medios: Elige 3 que realmente te traen clientes.,De esos medios: Elige 3 que realmente te traen clientes. (Otro),¿Usas alguna app o plataforma para promocionar tu servicio? ¿Cómo ha sido tu experiencia?,Cuéntame un poco sobre tu negocio o servicio. ¿Qué ofreces y a qué tipo de visitantes atiendes normalmente?,¿Cómo es un día normal para ti cuando tienes visitantes o clientes?,¿Hay temporadas donde tienes muchos visitantes y otras donde casi no llegan? ¿Cómo te afecta eso?,¿Cuál dirías que es el principal problema que enfrentas para atraer más visitantes?,"¿Qué tan fácil o difícil te resulta usar herramientas digitales para promocionarte?
",¿Has tenido alguna mala experiencia con plataformas digitales o redes sociales? ¿Qué pasó?,"Menciona ¿Cuál consideras sería la principal dificultad?
",¿Qué te haría confiar en una plataforma turística del gobierno del estado?,¿Qué tan valioso sería para ti aparecer en una app oficial que recomiende tu servicio a los visitantes?,"Si esa app existiera, ¿qué debería ofrecerte para que realmente la usaras?",¿Qué tan valioso consideras sería aparecer en una app turística oficial?,¿Qué funciones te resultarían más útiles?,En una escal del 1 al 5; donde 1 es nada y 5 totalmente. ¿Qué tanto confiaría en una plataforma que es oficial y gratuita?,"¿Qué tan dispuesto estarías a mantener tu información actualizada (por ejemplo de horarios, precios, fotos)?",¿Qué te motivaría a seguir usando la plataforma en el tiempo?,"Si pudieras pedirle algo a una plataforma turística para apoyar tu negocio, ¿qué sería?
","En una frase, ¿qué esperas de una plataforma turística del estado?"
1,Artesanía,,Más de 10 años,Recomendación directa,,Las plataformas digitales me ayudan,De boca a boca,,"Redes sociales, De boca a boca, Ferias",,FALSO,Artesanías y el visitante es de un nivel medio,Sábados y domingos es más afluencia y vacaciones ,"Vacaciones,  fines de semana y cuando no hay afecta en las ventas en los ingresos ","Las carreteras, la publicidad, señaleticas, no hay cajeros, medios de transporte",No es tan complicado ,No,Falta de conocimientos digitales,Que sea atractiva y segura,Muy valioso,"Seguridad, confianza, eficaz",Muy valioso,Recomendaciones a turistas,5,Muy dispuesto,La atracción del turista y crecimiento ,"Atracción, seguridad, confianza ",Que sea una herramienta de apoyo a los comerciantes
2,Artesanía,,Más de 10 años,Redes sociales,,Las plataformas digitales me ayudan,Redes sociales,,"Recomendaciones, Redes sociales, De boca a boca",,FALSO,"Artesanías de duentes, en diferentes presentaciones y el turistas es de diferentes niveles por la curiosidad de conocer más sobre duendes ","Darle una buena atención, explicar los significados, dar un buen servicio al cliente","Sábados y domingos, vacaciones de semana santa y diciembre, cuando no hay visitantes baja la venta y afecta un poco la economía ","Las vialidades, falta de transporte, señaleticas ",No me es difícil ,No,Falta de visibilidad,"Que sea atractiva y tenga más publicidad, atraer más clientes",Muy valioso,"Seguridad, confianza, innovación ",Muy valioso,Recomendaciones a turistas,5,Muy dispuesto,La publicidad a más turistas ,"Que sea seccionado qué tenga el apartado de duendearte para recomendar el lugar, proyectar imágenes del ligar","Que sea confiable, innovador y crear seguridad al turista"
3,Artesanía,,4–10 años,Recomendación directa,,Me cuesta trabajo atraer visitantes,Recomendaciones,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Artesanías de ropa bordada,Hay buena venta en temporada de vacaciones ,No hay ventas,"Malas vialidades, falta de transporte ",Difícil ,No,Falta de conocimientos digitales,"Que sea segura, confiable ",Muy valioso,"Innovación, credibilidad ",Muy valioso,Contacto directo con turistas,5,Muy dispuesto,Que sea real y crear seguridad ,"Que muestre mis productos,  que se reflejan mis ventas, que si atraiga turistas ",Que sea una herramienta funcional y atractiva 
4,Restaurante / café,,Más de 10 años,Plataformas digitales,,Las plataformas digitales me ayudan,Plataformas,,"Redes sociales, De boca a boca, Recomendaciones",,VERDADERO,Restaurante y hotel y atienden a turistas ,Bueno,Si. Me afecta en los ingresos,Siempre hay turismo,Ni ,Ninguno ,Falta de visibilidad,Que sea confiable,Muy valioso,Fácil de usar y que de buena promoción ,Valioso,Recomendaciones a turistas,5,Dispuesto,La efectividad de la plataforma ,Que sea confiable y efectiva,Que sea efectiva 
5,Otro: Servicios,,4–10 años,Recomendación directa,,Las plataformas digitales me ayudan,Plataformas,,"Redes sociales, Recomendaciones, De boca a boca",,VERDADERO,Servicios ,Venta moderada,Baja la venta ,Falta de promoción ,Fácil ,No,Costos de publicidad,Si,Muy valioso,Ventas,Poco,Mayor visibilidad,5,Neutral,Mejorar ventas ,Aumentar ventas ,Promocionar el comercio local 
6,Artesanía,,Más de 10 años,Recomendación directa,,No siempre veo resultados claros,De boca a boca,,De boca a boca,,FALSO,Artesanias y atiendo a extranjeros y locales,"Buenos, en las ventas ya que se incrementan","Efectivamente, se ve en la disminucion o incremento en las ventas",Que en este momento están  arreglando la carreterA,No es difícil pero no las utilizamos ,Ninguno,Falta de tiempo,Que la información  proporcionada sea del lugar turístico,Valioso,Que diera ubicaciones exactas y que estuviera actualizada constantemente ,Valioso,Recomendaciones a turistas,4,Dispuesto,Su efectividad ,Eficacia,Que sea confiable y fácil de entender por los visitantes 
7,Otro: Artesanías y papelería,,Más de 10 años,Recomendación directa,,No siempre veo resultados claros,De boca a boca,,De boca a boca,,FALSO,Artesanías y papelería.  Atiendo a locales y turistas,Bueno,"Si, en la disminución  o incremento en las ventas ",Queno nos promocionamos en redes sociales,Difícil ,No,Falta de conocimientos digitales,Que se fácil y accesible de manejar ,Valioso,Que sea segura y de fácil manejo,Valioso,Recomendaciones a turistas,4,Dispuesto,Que sea eficaz,Más  visibilidad y mayor alcance,Que sea segura y confiable
8,Otro: Servicio  de internet,,Más de 10 años,Recomendación directa,,No siempre veo resultados claros,De boca a boca,,"De boca a boca, Recomendaciones, Redes sociales",,FALSO,Servicios de ínternety la mayor parte es a gente de la localidad,Bueno,"Si, en los períodos vacacionales de la Sep, nos afectan en los ingresos",Ninguno,Fácil ,Ninguna,Falta de tiempo,Que fuera confiable ,Muy valioso,Que tuviera muh buen rendimiento al ofrecer sus servicios,Muy valioso,Mayor visibilidad,5,Dispuesto,De acuerdo a los resultados decidiría si la sigo utilizando,Que generará publicidad de calidad,Que ofrezca buenos servicios
9,Otro: Miscelanea,,Más de 10 años,No me promociono,,No siempre veo resultados claros,De boca a boca,,De boca a boca,,FALSO,Miscelanea y generalmente al turismo,Tranquilo ,"Si,y no tengo dinero para invertir",Que no los dejan estacionar,Fácil ,No,Falta de conocimientos digitales,Que sea seria y segura,Neutral,La seguridad de que sea real,Neutral,Recomendaciones a turistas,5,Neutral,Que vea un incremento en mis ventas,Que fuera confiable ,Confiabilidad
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Hospedaje,,1–3 años,Redes sociales,,Me cuesta trabajo atraer visitantes,Redes sociales,,"Redes sociales, Recomendaciones, Ferias",,FALSO,Pequeño motel y mis clientes mayormente son turistas,Atareado,En verano es cuando hay más clientes y en invierno casi no y me cuesta sacar la ganancia ,Sona poco conocida ,Mucho,"Si, e sido estafado en Facebook ",Costos de publicidad,La accesibilidad y la facilidad para promocionarse ,Muy valioso,Sin anuncios publicitarios que aparecen cada 5 segundos y sin cuentas de pago,Muy valioso,Perfil verificado,3,Neutral,Los calientes nuevos,Mayor tiempo para promocionarte sin costos adicionales ,Eficiencia
13,Artesanía,,Más de 10 años,Recomendación directa,,No siempre veo resultados claros,Ferias,,"Ferias, De boca a boca",,VERDADERO,Turistas ,Varea la asistencia de turismo ,Si,Falta de turismo ,No,No,Pocos clientes,Si,Muy valioso,Promoción ,Valioso,Mayor visibilidad,5,Muy dispuesto,Si,Dar a conocer los productos y artesanías ,Beneficios para incrementar ventas 
14,Artesanía,,Más de 10 años,No me promociono,,Mantener redes sociales es complicado,Ferias,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Vestidos para niños Dios,20 personas ,"Si, enero ",Perdida de tradiciones ,Difícil ,No las uso ,Pocos clientes,Información en general ,Valioso,Promover mis productos ,Valioso,Mayor visibilidad,4,Muy dispuesto,Mayor venta,Promover mi mercancía ,Confianza y seguridad 
15,Artesanía,,4–10 años,No me promociono,,Me cuesta trabajo atraer visitantes,Otro: Con publicidad que toman en el local,,"[""Redes sociales"", ""Ferias"", ""other""] (otro: Publicidad)",,FALSO,"Perfumes, duendes, vasos taquilleras, portaretratos","Los turistas acuden con más frecuencia a espacios de diversión, la cabecera es más visitada para ingerir alimentos, hay gente, pero poca es la que compra.","En baja temporada hay muy poca afluenc8a de visitantes, entre semana no hay ventas, los fines poca venta.",Rehabilitacion carreteras ,Es fácil en ocasiones utilizan tic toc para para promover el negocio.,"En ocasiones, por pocas vistas, bajan el contenido.",Falta de conocimientos digitales,Sería una plataforma oficial en forma permanente,Valioso,"Ver el tipo de mercancía que ofrecen, como llegar al lugar, carreteras, costos. ",Valioso,Recomendaciones a turistas,5,Dispuesto,"Si se mejorarán las ventas, expandir el negocio","Promocionar los productos que ellos mismos elaboran, como tasa mágicas, playeras estampadas e imán de madera","Que se refleje mayorafkuencia de turistas, aumentar sus ventas, ubicar el espacio. "
16,Hospedaje,,Más de 10 años,Redes sociales,,Las plataformas digitales me ayudan,Plataformas,,"Redes sociales, Recomendaciones, Plataformas",,VERDADERO,"Hospedaje, ",Variable ,"Temporadas buenas, vacaciones ",Economía escasa ,Son buenas las plataformas digitales ,"No, hasta el momento ",Falta de visibilidad,Es confiable ,Valioso,Mis servicios ,Muy valioso,Estadísticas de visitas,5,Muy dispuesto,Incrementar la clientela ,Difusión ,Mayor promoción 
17,Otro: Venta de ropa,,1–3 años,Redes sociales,,No siempre veo resultados claros,Redes sociales,,"Redes sociales, Recomendaciones, De boca a boca",,FALSO,Ropa y básicamente clientela local,Un buen día de venta los lunes día de tianguis,"Días feriados les benefician, desventaja su ubicación. ","Precios alto en hospedajes.carretetas en mal estado, cierre de un tramo de carr. A pachuca, por rehabilitacionn","Regular, hace falta capacitacion",No,Falta de visibilidad,"Si se actualizará, permitir puntos de vista, que sea confiable, verificable",Muy valioso,"Alternativas de traslado al lugar, ubicación, ",Muy valioso,Contacto directo con turistas,4,Muy dispuesto,Los resultados que se vean,Recomendaciones,Incrementar clientela.
18,Artesanía,,1–3 años,Redes sociales,,No siempre veo resultados claros,Redes sociales,,"Redes sociales, Recomendaciones, De boca a boca",,FALSO,"Artesanías, turistas",Ventas mejoran,Se refleja en las ventas,Promocion,Regular faltan c9nocimientos,No,Falta de conocimientos digitales,Información. Confiable,Muy valioso,"Productos, costos, ubicación, transporte",Muy valioso,Mayor visibilidad,4,Muy dispuesto,Ver que aumentan las ventas,"Ubicación, costos",Mejorar las ventas
19,Otro: Botanas,,Más de 10 años,No me promociono,,No siempre veo resultados claros,Redes sociales,,Recomendaciones,,FALSO,Botana y dulces,Los días sábados y domingos,La mejor en vaciones,Publicidad,Puede tener mejoría de visitantes,No,Pocos clientes,Mejor información ,Valioso,Productos que vendo,Neutral,Estadísticas de visitas,5,Neutral,Ventas,Difucion,Mejoría de visitas
20,Artesanía,,Más de 10 años,Redes sociales,,Mantener redes sociales es complicado,Redes sociales,,"Recomendaciones, De boca a boca, Redes sociales",,VERDADERO,"Artesanal a los clientes visitantes son de guerra y existen aveces ,,uchos problemas 0aara ofrece el producto ",Días  festivos es donde hay mayor venta,En el gasto familiar,La FALTA DE DIFUCION,Muchas ,Si no me es util,Falta de visibilidad,Que si sirva para lo que es,Muy valioso,"Mi se3vicio directo de ,miS productos",Nada valioso,Mayor visibilidad,3,Dispuesto,Vender mis productos,Promoción de los productos,Condianza y que se a legal
21,Artesanía,,Más de 10 años,No me promociono,,Me cuesta trabajo atraer visitantes,Ferias,,"Redes sociales, Recomendaciones, Ferias",,VERDADERO,Es un producto artesanal,Muy buena ,En  vacaciones ,La difusión ee la zona,Ninguna,No,Falta de visibilidad,Que sea una Apple confiable,Muy valioso,Disponibilidad,Nada valioso,Mayor visibilidad,4,Muy dispuesto,La confianza,Claridad de difusión ,
22,Artesanía,,Más de 10 años,No me promociono,,No siempre veo resultados claros,Recomendaciones,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Turismo nacional ,Domingos ,En los ingresos  y cobro de la entrada,Cobrar la entrada e inseguridad del lugar ,Difícil ,No,Falta de conocimientos digitales,Que sea confiable ,Valioso,Segura ,Valioso,Recomendaciones a turistas,5,Poco dispuesto,Que haya promoción ,Mayor  difusión ,Confiable 
23,Artesanía,,Más de 10 años,No me promociono,,Me cuesta trabajo atraer visitantes,Recomendaciones,,"Recomendaciones, De boca a boca",,FALSO,Lo ofrecemos normalmente a turismo nacional el tipo de servicio que bueno y de artesanía que no trabajamos es diversa trabajamos en madera en piedra en tejidos este sería lo que trabajamos,Bueno sí es bueno,El impacto en la economía porque ya no se produce la misma cantidad producimos menos y ganamos menos,Nuestro municipio sería la promoción de del turismo le quede de visita al turismo para para el estado de Tula no para el municipio de Tula ese sería la cuestión que el extranjero muy poco,Quise me complica no le entiendo,No,Falta de visibilidad,Pues lo primero sería que hubiera una verdadera promoción o una verdadera este difusión de nuestros productos y del municipio,Muy valioso,Confiabilidad y que realmente este hubiera la venta del producto,Muy valioso,Mayor visibilidad,5,Muy dispuesto,Pues es lo que me motivaría es que mis productos este se vendieran,Pues sería si es apoyo elegir el equipamiento de mi taller que para que mis labores o mis artesanías puedan un poquito más rápido de su elaboración o con un poquito menos trabajo,
24,Artesanía,,Más de 10 años,No me promociono,,No siempre veo resultados claros,De boca a boca,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Bueno aquí atendemos este estudiantes mexicanos extranjeros pero los que en realidad vienen a comprar son los estudiantes y los nacionales casi el extranjero no no nos compra infección por el,Bueno si tenemos buenas ventas ahí ya es donde se ve que hay buenas ventas,Bueno nos afecta Porque no tenemos ventas hay muy poco turismo aquí en tul .,Bueno es que casi tampoco no le hacen mucha promoción aquí al Estado de Hidalgo ni tampoco a nuestras zonas arqueológicas no hay señalamientos de que tenemos un área turística que es la pirámides de Tula y en,Para Bueno no se me hace tan difícil pero a veces también por los robos no lo hace uno de promocionar,No,Falta de visibilidad,Bueno pues que realmente funcione y que realmente le hagan promoción a los artesanos inmediato y atender,Muy valioso,Inseguridad primero que nada y que haya buena organización para tener ventas Y qué es lo principal como que entró en la,Muy valioso,Mayor visibilidad,5,Muy dispuesto,Pues que realmente haya buena comunicación para el turismo y que realmente venga a visitar sino De qué manera,Sí que haya buenas promociones y que en ferias y en lugares turísticos se pronuncian las artesanías de aquí de tula,
25,Guía / experiencia,,Más de 10 años,No me promociono,,Me cuesta trabajo atraer visitantes,Recomendaciones,,De boca a boca,,VERDADERO,Servicios de transporte ,Mayor asistencia de turismo ,Si,No,Solo servicio de teléfono ,No,Pocos clientes,Su proyección ,Muy valioso,Mayor difusión ,Nada valioso,Contacto directo con turistas,5,Muy dispuesto,Mejorar y ampliar la clientela,"Mayor difusión turista,",Seguridad y confianza 
26,Artesanía,,Más de 10 años,Plataformas digitales,,Las plataformas digitales me ayudan,Plataformas,,"Redes sociales, Ferias, Recomendaciones",,VERDADERO,Artesanías y varios productos ,Sábados y domingos ,Si,Difusión ,Ayudan a vender y dase a conocer ,No,Falta de visibilidad,"Es seria, si ayuda ",Muy valioso,Promover los productos ,Valioso,Recomendaciones a turistas,5,Muy dispuesto,Mejorar las ventas ,Promoción ,Seguridad y promoción de las artesanías del estado de hidalgo 
27,Restaurante / café,,Más de 10 años,Recomendación directa,,Las plataformas digitales me ayudan,Plataformas,,"Redes sociales, Recomendaciones, Plataformas",,VERDADERO,Turistas ,Satisfactorio ,Bajan las ventas ,Falta de turismo ,Ayudan las redes sociales ,No,Pocos clientes,La promoción y seriedad ,Muy valioso,Promover mis productos ,Muy valioso,Recomendaciones a turistas,5,Muy dispuesto,Mejorar mis ventas ,Difusión ,Beneficios en mi economía 
28,Hospedaje,,4–10 años,Recomendación directa,,Las plataformas digitales me ayudan,Ferias,,"Redes sociales, Plataformas, Ferias",,VERDADERO,Turismo ,Alta en días de vacaciones ,Si,Competencia ,No,No,Costos de publicidad,Si,Valioso,Mis servicios ,Valioso,Mayor visibilidad,5,Dispuesto,Sumar más clientes ,Mayor difusión ,Promoción mayor VISITA 
29,Artesanía,,1–3 años,Recomendación directa,,Me cuesta trabajo atraer visitantes,Recomendaciones,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Dulces artesanal ,1000,Aveces ,Las obras públicas ,Mucho,No,Falta de tiempo,Atractivo de turistas,Valioso,Confiabilidad ,Muy valioso,Recomendaciones a turistas,3,Dispuesto,Darte a conocer en varios lados,Confiabilidad,Compromiso y ayuda a que haya más turismo 
30,Restaurante / café,,Más de 10 años,Redes sociales,,No siempre veo resultados claros,Redes sociales,,"Redes sociales, Recomendaciones, De boca a boca",,VERDADERO,Turistas,Cansado,Después de verano y en día de muertos,La construcción de obra o cierre de carreteras,No tan facil,No,Falta de conocimientos digitales,Más ventas ,Neutral,Ganacias,Neutral,Contacto directo con turistas,3,Neutral,Mayor ventas ,Promocion,Apoyo
31,Artesanía,,4–10 años,Redes sociales,,Las plataformas digitales me ayudan,De boca a boca,,"Redes sociales, Plataformas, De boca a boca",,VERDADERO,Turistas ,Con trabajo,En los regresos de clases,Cierre de carreteras,Ninguna,No,Falta de visibilidad,Que sea confiable y que ayude a la promocion ,Valioso,Mayor promoción ,Valioso,Recomendaciones a turistas,4,Dispuesto,Mayor ganancia en productos,Que me promocionaron más ,Confiable y que sea productiva a los locatarios
32,Artesanía,,Más de 10 años,No me promociono,,Mantener redes sociales es complicado,Otro: Por visitas de turistas,,"De boca a boca, Redes sociales, Recomendaciones",,FALSO,Turistas ,Con mucho trabajo,Vacaciones de veran,Obras y cierre de carreteras,No utlizo,No tengo redes,Falta de tiempo,Confiablen y comprometida y se le de seguimiento ,Valioso,Garantia,Valioso,Contacto directo con turistas,4,Dispuesto,Mejoraría la economía ,Mayor promocion,Mayor  trabajo
33,Otro: Medicina,,4–10 años,No me promociono,,No siempre veo resultados claros,De boca a boca,,"Recomendaciones, Plataformas",,VERDADERO,Que buscan medicamentos ,Bien,En vacaciones ,Las desviaciones,Facil,No,Falta de conocimientos digitales,Que muestre los resultados reales,Valioso,Que se muestre,Valioso,Estadísticas de visitas,5,Neutral,Que se mejore,La ubicación ,Que me promocione
34,Hospedaje,,4–10 años,Recomendación directa,,Las plataformas digitales me ayudan,De boca a boca,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Turistas ,Tranquilo,En vacaciones y normal en los otros dias,La confiabilidad,Facil,Los anuncios falsos,Falta de visibilidad,Que funcione y sea confiable,Neutral,Recomendaciones,Neutral,Mayor visibilidad,5,Neutral,Que se actualiza ,Que sea gratis,Que sea confiable y este al dia
